architecture,variant,n_plds,pld_configuration,train_samples,cbf_mae,cbf_rmse,cbf_r2,cbf_bias,att_mae,att_rmse,att_r2,att_bias,best_cbf_epoch,best_att_epoch,train_duration_s,seed
BaselineMLP,single,6,6-PLD,100000,3.2070953845977783,4.431816101074219,0.9764420390129089,0.07800595462322235,0.23548315465450287,0.36335039138793945,0.7446990013122559,0.03181930631399155,44,31,367.1313211917877,52
BaselineMLP,single,3,3-PLD,100000,3.6224067211151123,4.934338569641113,0.9707967042922974,0.28048253059387207,0.25009533762931824,0.3796561360359192,0.7212710380554199,0.03560919687151909,14,60,364.0274615287781,52
WiderMLP,single,6,6-PLD,100000,3.1790642738342285,4.370736598968506,0.9770869612693787,-0.021541673690080643,0.23584072291851044,0.367862343788147,0.7383191585540771,0.028292745351791382,50,29,382.8120436668396,52
WiderMLP,single,3,3-PLD,100000,3.581580877304077,4.922170639038086,0.9709405899047852,0.19639186561107635,0.2501307725906372,0.38236182928085327,0.7172840237617493,0.04618177190423012,62,60,519.7581074237823,52
ResidualMLP,single,6,6-PLD,100000,3.162018060684204,4.380456447601318,0.9769849181175232,-0.06304123252630234,0.23490801453590393,0.3633452355861664,0.7447062730789185,0.02331295795738697,103,56,656.5838360786438,52
ResidualMLP,single,3,3-PLD,100000,3.57651948928833,4.905046463012695,0.9711424112319946,0.07812086492776871,0.248773992061615,0.37924832105636597,0.7218695282936096,0.0477001816034317,137,61,745.4325160980225,52
Conv1DNet,single,6,6-PLD,100000,3.1866047382354736,4.417591094970703,0.976593017578125,-0.10644087195396423,0.2346917986869812,0.3637752830982208,0.7441015243530273,0.027709441259503365,118,82,608.799569606781,52
Conv1DNet,single,3,3-PLD,100000,3.591419219970703,4.928883075714111,0.9708612561225891,0.3668529689311981,0.2501853406429291,0.3823409080505371,0.7173149585723877,0.03422620892524719,126,99,680.9384665489197,52
MultiTaskMLP,multi,6,6-PLD,100000,3.2115495204925537,4.443591117858887,0.9763166904449463,0.08272261172533035,0.2335752695798874,0.36254313588142395,0.7458321452140808,0.028467334806919098,81,81,334.7762520313263,52
MultiTaskMLP,multi,3,3-PLD,100000,3.594825029373169,4.928135395050049,0.9708700776100159,0.19065268337726593,0.24891437590122223,0.3801683783531189,0.7205183506011963,0.03666698932647705,83,83,342.7381012439728,52
