Combination,Indices,PLDs,Val_CBF_MAE,Val_CBF_RMSE,Val_CBF_R2,Val_ATT_MAE,Val_ATT_RMSE,Val_ATT_R2,CBF_Best_Epoch,ATT_Best_Epoch,Train_Duration_s
combination_00,"[0, 1, 2]","[1.525, 2.025, 2.525]",3.9097235202789307,5.645059585571289,0.962155282497406,0.2488122582435608,0.3841393291950226,0.7172920107841492,72,57,643.2917766571045
combination_01,"[0, 1, 3]","[1.525, 2.025, 3.025]",3.8485023975372314,5.378506660461426,0.9656448364257812,0.25141453742980957,0.39121711254119873,0.7067782878875732,45,21,370.2671456336975
combination_02,"[0, 1, 4]","[1.525, 2.025, 3.525]",4.5989990234375,6.731578826904297,0.9461851119995117,0.26934781670570374,0.4162704646587372,0.6680201292037964,59,65,580.6827738285065
combination_03,"[0, 1, 5]","[1.525, 2.025, 4.025]",5.290018558502197,8.059028625488281,0.9228681325912476,0.28112566471099854,0.4229746162891388,0.6572407484054565,28,33,355.5875883102417
combination_04,"[0, 2, 3]","[1.525, 2.525, 3.025]",3.623871088027954,5.0039381980896,0.9702633023262024,0.24904152750968933,0.38564008474349976,0.7150787115097046,41,51,462.1881265640259
combination_05,"[0, 2, 4]","[1.525, 2.525, 3.525]",3.9397878646850586,5.489266395568848,0.9642153382301331,0.2588574290275574,0.3945270776748657,0.7017955183982849,91,31,561.2792553901672
combination_06,"[0, 2, 5]","[1.525, 2.525, 4.025]",4.1209564208984375,5.834428787231445,0.9595735669136047,0.26063787937164307,0.39203888177871704,0.7055450677871704,57,60,541.7987780570984
combination_07,"[0, 3, 4]","[1.525, 3.025, 3.525]",4.359775543212891,6.0529022216796875,0.9564893245697021,0.2768629491329193,0.417936235666275,0.6653578877449036,31,38,378.18597173690796
combination_08,"[0, 3, 5]","[1.525, 3.025, 4.025]",4.538287162780762,6.322610855102539,0.9525253772735596,0.2811463475227356,0.42527878284454346,0.653496265411377,36,55,453.7259666919708
combination_09,"[0, 4, 5]","[1.525, 3.525, 4.025]",6.042708396911621,8.72021484375,0.9096927046775818,0.325968861579895,0.4851008951663971,0.5491576790809631,30,77,510.617799282074
combination_10,"[1, 2, 3]","[2.025, 2.525, 3.025]",4.701174736022949,6.186831474304199,0.9545425772666931,0.3854380249977112,0.530117392539978,0.4616006016731262,9,24,258.91757917404175
combination_11,"[1, 2, 4]","[2.025, 2.525, 3.525]",4.936450958251953,6.544931411743164,0.9491280317306519,0.3978205621242523,0.536186695098877,0.44920164346694946,81,11,457.43034267425537
combination_12,"[1, 2, 5]","[2.025, 2.525, 4.025]",5.099034309387207,6.80334997177124,0.945031464099884,0.4040955901145935,0.5447765588760376,0.4314125180244446,41,34,400.2860019207001
combination_13,"[1, 3, 4]","[2.025, 3.025, 3.525]",4.919727325439453,6.491413116455078,0.9499565958976746,0.4050042927265167,0.5471357703208923,0.42647719383239746,67,52,549.7829160690308
combination_14,"[1, 3, 5]","[2.025, 3.025, 4.025]",4.994351387023926,6.604954242706299,0.9481906294822693,0.412288099527359,0.5569906830787659,0.4056307077407837,68,107,738.8916482925415
combination_15,"[1, 4, 5]","[2.025, 3.525, 4.025]",5.746953010559082,7.651266574859619,0.9304759502410889,0.4520549774169922,0.5941579937934875,0.3236609697341919,17,48,366.0827085971832
combination_16,"[2, 3, 4]","[2.525, 3.025, 3.525]",6.4661993980407715,8.343449592590332,0.9173277616500854,0.5345087647438049,0.6554458141326904,0.176935076713562,23,33,337.71394896507263
combination_17,"[2, 3, 5]","[2.525, 3.025, 4.025]",6.481893539428711,8.368535995483398,0.9168298840522766,0.5386683344841003,0.6609057784080505,0.1631653904914856,21,47,375.1948437690735
combination_18,"[2, 4, 5]","[2.525, 3.525, 4.025]",6.714694499969482,8.674885749816895,0.910629153251648,0.5575919151306152,0.6737569570541382,0.13030481338500977,12,38,315.4075725078583
combination_19,"[3, 4, 5]","[3.025, 3.525, 4.025]",8.731138229370117,11.209510803222656,0.8507749438285828,0.5722501277923584,0.6794077157974243,0.11565542221069336,35,5,279.94918036460876
