Case,CBF,ATT,PLD,Selected,Signal,Norm_Signal,Slope (dS/dt),Region,Dist to Peak (s)
Low CBF / Low ATT,20.0,0.8,1.525,True,148.59053041857567,0.6456485236224506,-123.71762965466405,Post-Peak (Decay),0.5249999999999999
Low CBF / Low ATT,20.0,0.8,2.025,False,97.95691491496005,0.42563773960085055,-81.69600715961496,Post-Peak (Decay),1.025
Low CBF / Low ATT,20.0,0.8,2.525,True,64.5771783210295,0.28059769169155707,-53.94734448480449,Post-Peak (Decay),1.525
Low CBF / Low ATT,20.0,0.8,3.025,True,42.57189973292193,0.18498139910353192,-35.41610943252954,Post-Peak (Decay),2.025
Low CBF / Low ATT,20.0,0.8,3.525,False,28.065126008761563,0.12194725412037222,-23.386761756123178,Post-Peak (Decay),2.525
Low CBF / Low ATT,20.0,0.8,4.025,False,18.501671356670823,0.08039258465752777,-15.443272403468882,Post-Peak (Decay),3.0250000000000004
Low CBF / High ATT,20.0,2.5,1.525,True,62.48463659351426,0.6404981916730844,52.617803325065324,Pre-Peak (Arrival),-0.976002004008016
Low CBF / High ATT,20.0,2.5,2.025,False,84.01939788536197,0.8612400638755014,34.74577106890047,Pre-Peak (Arrival),-0.47600200400801596
Low CBF / High ATT,20.0,2.5,2.525,True,95.62471891886982,0.98020030019892,-79.8842530271886,Post-Peak (Decay),0.023997995991984045
Low CBF / High ATT,20.0,2.5,3.025,True,63.039699962816044,0.6461878636258003,-52.443534972213456,Post-Peak (Decay),0.523997995991984
Low CBF / High ATT,20.0,2.5,3.525,False,41.55833153113374,0.425993294444551,-34.6306942715014,Post-Peak (Decay),1.023997995991984
Low CBF / High ATT,20.0,2.5,4.025,False,27.39694066866356,0.2808320878907888,-22.868118755945943,Post-Peak (Decay),1.5239979959919845
High CBF / Low ATT,80.0,0.8,1.525,True,594.3621216743027,0.6456485257265316,-494.8705186186562,Post-Peak (Decay),0.5249999999999999
High CBF / Low ATT,80.0,0.8,2.025,False,391.8276596598402,0.42563774098794627,-326.78402863845986,Post-Peak (Decay),1.025
High CBF / Low ATT,80.0,0.8,2.525,True,258.308713284118,0.28059769260598694,-215.78937793921796,Post-Peak (Decay),1.525
High CBF / Low ATT,80.0,0.8,3.025,True,170.2875989316877,0.1849813997063612,-141.66443773011815,Post-Peak (Decay),2.025
High CBF / Low ATT,80.0,0.8,3.525,False,112.26050403504625,0.12194725451778178,-93.54704702449271,Post-Peak (Decay),2.525
High CBF / Low ATT,80.0,0.8,4.025,False,74.00668542668329,0.08039258491951631,-61.77308961387553,Post-Peak (Decay),3.0250000000000004
High CBF / High ATT,80.0,2.5,1.525,True,249.93854637405704,0.64049819659715,210.4712133002613,Pre-Peak (Arrival),-0.976002004008016
High CBF / High ATT,80.0,2.5,2.025,False,336.0775915414479,0.8612400704966015,138.98308427560187,Pre-Peak (Arrival),-0.47600200400801596
High CBF / High ATT,80.0,2.5,2.525,True,382.49887567547927,0.9802003077345707,-319.5370121087544,Post-Peak (Decay),0.023997995991984045
High CBF / High ATT,80.0,2.5,3.025,True,252.15879985126418,0.6461878685936074,-209.77413988885382,Post-Peak (Decay),0.523997995991984
High CBF / High ATT,80.0,2.5,3.525,False,166.23332612453495,0.42599329771953126,-138.5227770860056,Post-Peak (Decay),1.023997995991984
High CBF / High ATT,80.0,2.5,4.025,False,109.58776267465424,0.2808320900497889,-91.47247502378377,Post-Peak (Decay),1.5239979959919845
Central CBF / Central ATT,50.0,1.5,1.525,True,436.6498970818247,0.9798525621626499,-363.5580955511723,Post-Peak (Decay),0.02700400801603209
Central CBF / Central ATT,50.0,1.5,2.025,False,287.857353329181,0.6459586205836249,-240.07285671403224,Post-Peak (Decay),0.5270040080160321
Central CBF / Central ATT,50.0,1.5,2.525,True,189.7672630165611,0.42584216811695813,-158.5303070846494,Post-Peak (Decay),1.027004008016032
Central CBF / Central ATT,50.0,1.5,3.025,True,125.10229006245109,0.2807324592753468,-104.07419971643321,Post-Peak (Decay),1.527004008016032
Central CBF / Central ATT,50.0,1.5,3.525,False,82.47251254028897,0.18507024337040004,-68.72461579564788,Post-Peak (Decay),2.027004008016032
Central CBF / Central ATT,50.0,1.5,4.025,False,54.369231141274085,0.12200582387085199,-45.381783661351164,Post-Peak (Decay),2.5270040080160325
