,CCC,CCC,CCC,CCC,MAE,MAE,MAE,MAE,RMSE,RMSE,RMSE,RMSE
Parameter,ATT,ATT,CBF,CBF,ATT,ATT,CBF,CBF,ATT,ATT,CBF,CBF
Model,4 PLD,6 PLD,4 PLD,6 PLD,4 PLD,6 PLD,4 PLD,6 PLD,4 PLD,6 PLD,4 PLD,6 PLD
SNR,,,,,,,,,,,,
10,0.8341751881783381,0.82326100059102,0.9884359383832997,0.9879861029534357,0.25395169854164124,0.2662340998649597,3.416707754135132,3.4978113174438477,0.38596034049987793,0.4000824987888336,4.373271942138672,4.412698745727539
15,0.8757126751778633,0.8689346164636624,0.9916297034792985,0.9916814973780376,0.21905827522277832,0.22499413788318634,2.868135452270508,2.870778799057007,0.3361668288707733,0.34631508588790894,3.733595371246338,3.686924934387207
20,0.8946380223189345,0.8923637949819736,0.9927240839890581,0.9928474346718225,0.20385795831680298,0.20360319316387177,2.6197924613952637,2.6245460510253906,0.31067174673080444,0.31493279337882996,3.483973503112793,3.4226160049438477
25,0.903766454171008,0.9045005125693447,0.9932895609933875,0.9935040468010178,0.19431158900260925,0.19243231415748596,2.499107599258423,2.4740827083587646,0.297151118516922,0.29691749811172485,3.3483333587646484,3.263800621032715
30,0.9119629979508327,0.9130144917102956,0.9934649700952857,0.9937403578281395,0.18716362118721008,0.1842615008354187,2.4382998943328857,2.404555320739746,0.28494375944137573,0.28381767868995667,3.3044445514678955,3.2040915489196777
35,0.9165635662636118,0.918462774424415,0.9936452987518357,0.9940056003506798,0.1824839860200882,0.17869384586811066,2.39978289604187,2.3503682613372803,0.2774460017681122,0.27486664056777954,3.260969638824463,3.136828660964966
40,0.919150224748187,0.9215261524542128,0.9937750072815627,0.9941086567265285,0.17928263545036316,0.17518387734889984,2.360245704650879,2.307640790939331,0.27329176664352417,0.26990556716918945,3.22625470161438,3.108537197113037
45,0.9202103069669417,0.9223034179241673,0.9938549176913114,0.9941589495791855,0.17871010303497314,0.17364363372325897,2.3430511951446533,2.2988245487213135,0.27147287130355835,0.2683699131011963,3.20633602142334,3.0957138538360596
50,0.9230001981469756,0.9252602906242826,0.993903221916863,0.9942062375897114,0.1757151335477829,0.1705951988697052,2.321788787841797,2.282831907272339,0.26691505312919617,0.2634628117084503,3.1939144134521484,3.083148717880249
55,0.9239273087042548,0.9265901997449,0.9938956838237136,0.9942530304248642,0.17433865368366241,0.168844074010849,2.317265033721924,2.2622931003570557,0.26535579562187195,0.2612842917442322,3.196012496948242,3.0704097747802734
60,0.924760155341397,0.927773443618386,0.993949891211679,0.9942930698898501,0.17399969696998596,0.16745997965335846,2.304328680038452,2.25152587890625,0.2639659643173218,0.25912144780158997,3.1815567016601562,3.059906244277954
65,0.9252341609565193,0.9276728870486832,0.9939869100670689,0.9942887924540477,0.17321273684501648,0.16704337298870087,2.2955219745635986,2.255316972732544,0.26304787397384644,0.25919386744499207,3.1720051765441895,3.0610268115997314
70,0.9255937788951853,0.9278664412074784,0.9940026302916188,0.9943424093233606,0.17284619808197021,0.1670205295085907,2.291149616241455,2.241328477859497,0.26255422830581665,0.2589662969112396,3.1680259704589844,3.0469720363616943
75,0.9266649504825042,0.9288647100145564,0.993999573889483,0.9943238512342194,0.17190293967723846,0.16595077514648438,2.2901971340179443,2.2407329082489014,0.2606314718723297,0.2571176588535309,3.168313980102539,3.051401138305664
80,0.9270087151623504,0.9292907836051659,0.9940246323605244,0.994354475787553,0.17123295366764069,0.16520142555236816,2.285357713699341,2.236635446548462,0.26013901829719543,0.25653135776519775,3.1623353958129883,3.0436642169952393
