SNR,Model,Parameter,MAE,RMSE,R2,Pearson,Bias
5,6_pld,CBF,5.436420917510986,6.98740816116333,0.9414393305778503,0.972678184523355,1.797627568244934
5,6_pld,ATT,0.3293321430683136,0.48739349842071533,0.5406320095062256,0.757733402248393,0.10672052949666977
5,3_pld,CBF,6.361186504364014,8.133028984069824,0.920662522315979,0.9646682249095923,2.4877123832702637
5,3_pld,ATT,0.35002899169921875,0.5071418881416321,0.502652108669281,0.736199031445167,0.11552652716636658
10,6_pld,CBF,3.189253807067871,4.141599655151367,0.979426383972168,0.9899526721689336,-0.6594834923744202
10,6_pld,ATT,0.24037592113018036,0.36854904890060425,0.7373412847518921,0.8609172505754006,0.042040351778268814
10,3_pld,CBF,3.469151258468628,4.405760765075684,0.9767182469367981,0.988336534629559,-0.19880862534046173
10,3_pld,ATT,0.2552773952484131,0.38487595319747925,0.7135539650917053,0.8475286539224277,0.03958261013031006
20,6_pld,CBF,2.236812114715576,3.088399648666382,0.9885596036911011,0.9945151220303186,-0.6240757703781128
20,6_pld,ATT,0.187666654586792,0.30085140466690063,0.8249728679656982,0.9089424423338862,0.02484401874244213
20,3_pld,CBF,2.450019121170044,3.259312391281128,0.9872583150863647,0.9938428899537142,-0.6136224865913391
20,3_pld,ATT,0.1998256891965866,0.31030356884002686,0.8138020634651184,0.9022650999932808,0.003997203428298235
30,6_pld,CBF,1.9341732263565063,2.8134851455688477,0.9905056953430176,0.9954239950726568,-0.5356261134147644
30,6_pld,ATT,0.1663297563791275,0.2709004282951355,0.8580875396728516,0.9267209419869902,0.019270380958914757
30,3_pld,CBF,2.1476385593414307,2.9682300090789795,0.9894325733184814,0.9949453628193777,-0.622499942779541
30,3_pld,ATT,0.1801789551973343,0.28018417954444885,0.8481941223144531,0.9210717398554712,-0.00791214220225811
40,6_pld,CBF,1.7997180223464966,2.7134172916412354,0.9911690354347229,0.9957284031168225,-0.49357086420059204
40,6_pld,ATT,0.15521347522735596,0.2544783353805542,0.8747715950012207,0.9355736651255273,0.016017403453588486
40,3_pld,CBF,2.0072426795959473,2.849614381790161,0.9902603030204773,0.9953504184974942,-0.6095367074012756
40,3_pld,ATT,0.16995474696159363,0.26331040263175964,0.8659282326698303,0.9307620008570064,-0.014028741046786308
60,6_pld,CBF,1.6842800378799438,2.641481876373291,0.9916310906410217,0.995938105895671,-0.45828524231910706
60,6_pld,ATT,0.14447131752967834,0.2379331737756729,0.8905259370803833,0.9438745209518542,0.012301696464419365
60,3_pld,CBF,1.883361577987671,2.7560172080993652,0.9908896088600159,0.995650496955204,-0.5903753638267517
60,3_pld,ATT,0.15968483686447144,0.24632008373737335,0.8826721906661987,0.9399177066535224,-0.019965462386608124
80,6_pld,CBF,1.6363276243209839,2.616502046585083,0.9917886257171631,0.9960088076403847,-0.44432905316352844
80,6_pld,ATT,0.13957518339157104,0.23020941019058228,0.8975180387496948,0.9475452080425156,0.010382382199168205
80,3_pld,CBF,1.830795168876648,2.7208361625671387,0.9911206960678101,0.9957584707878204,-0.5804644227027893
80,3_pld,ATT,0.15507537126541138,0.23911522328853607,0.8894355297088623,0.9436257450105557,-0.022564979270100594
